SNPS,MAPPED_GENE,DISEASE/TRAIT,P-VALUE,OR or BETA,95% CI (TEXT),STUDY ACCESSION,PUBMEDID
rs10761745,JMJD1C,Type 2 diabetes,5e-06,1.2,,GCST004305,28406950
rs163177,KCNQ1,Type 2 diabetes,1e-06,1.21,,GCST004305,28406950
rs7018475,CDKN2B-AS1,Type 2 diabetes,3e-08,1.35,[1.18-1.56],GCST001397,22293688
rs4686471,LINC01991 - LPP-AS2,Type 2 diabetes,1e-11,,,GCST007077,30595370
rs56337234,TACC3 - FGFR3,Type 2 diabetes,2e-10,,,GCST007077,30595370
rs1801212,WFS1,Type 2 diabetes,3e-18,,,GCST007077,30595370
rs28690107,MTND3P22 - ANKRD20A17P,Type 2 diabetes,1e-07,,,GCST007077,30595370
rs6885132,ANKH,Type 2 diabetes,3e-13,,,GCST007077,30595370
rs9686661,C5orf67,Type 2 diabetes,3e-11,,,GCST007077,30595370
rs72783884,PAM,Type 2 diabetes,4e-09,,,GCST007077,30595370
rs115505614,GIN1,Type 2 diabetes,4e-16,,,GCST007077,30595370
rs9379084,RREB1,Type 2 diabetes,2e-15,,,GCST007077,30595370
rs7756992,CDKAL1,Type 2 diabetes,5e-31,,,GCST007077,30595370
rs4715207,TFAP2B,Type 2 diabetes,1e-11,,,GCST007077,30595370
rs11759026,CENPW - MIR588,Type 2 diabetes,7e-12,,,GCST007077,30595370
rs3383,HIVEP2,Type 2 diabetes,2e-08,,,GCST007077,30595370
rs11763876,C1GALT1,Type 2 diabetes,7e-08,,,GCST007077,30595370
rs10228456,GTF3AP5 - AGMO,Type 2 diabetes,1e-14,,,GCST007077,30595370
rs860262,JAZF1,Type 2 diabetes,2e-18,,,GCST007077,30595370
rs4729854,RASA4DP - FAM185A,Type 2 diabetes,3e-10,,,GCST007077,30595370
rs6951280,DOCK4,Type 2 diabetes,8e-08,,,GCST007077,30595370
rs10260148,KLF14 - LINC-PINT,Type 2 diabetes,6e-09,,,GCST007077,30595370
rs1182395,UBE3C,Type 2 diabetes,3e-08,,,GCST007077,30595370
rs508419,ANK1,Type 2 diabetes,2e-15,,,GCST007077,30595370
rs1320164,TP53INP1,Type 2 diabetes,2e-09,,,GCST007077,30595370
rs1320164,NDUFAF6,Type 2 diabetes,2e-09,,,GCST007077,30595370
rs17513135,PABPC4-AS1,Type 2 diabetes,4e-11,,,GCST007077,30595370
rs17513135,PABPC4,Type 2 diabetes,4e-11,,,GCST007077,30595370
rs58432198,FAF1,Type 2 diabetes,2e-07,,,GCST007077,30595370
rs2793829,NOTCH2,Type 2 diabetes,2e-08,,,GCST007077,30595370
rs340874,PROX1,Type 2 diabetes,3e-12,,,GCST007077,30595370
rs340874,PROX1-AS1,Type 2 diabetes,3e-12,,,GCST007077,30595370
rs348330,ABCB10,Type 2 diabetes,9e-09,,,GCST007077,30595370
rs1260326,GCKR,Type 2 diabetes,1e-15,,,GCST007077,30595370
rs13414381,THADA,Type 2 diabetes,9e-17,,,GCST007077,30595370
rs243018,MIR4432HG,Type 2 diabetes,3e-09,,,GCST007077,30595370
rs11688682,LINC01101 - Y_RNA,Type 2 diabetes,2e-08,,,GCST007077,30595370
rs13007524,LINC01911 - RNU6-692P,Type 2 diabetes,9e-08,,,GCST007077,30595370
rs10184004,GRB14 - COBLL1,Type 2 diabetes,3e-15,,,GCST007077,30595370
rs2972143,NYAP2 - MIR5702,Type 2 diabetes,2e-16,,,GCST007077,30595370
rs17036160,PPARG,Type 2 diabetes,1e-11,,,GCST007077,30595370
rs1496653,UBE2E2,Type 2 diabetes,2e-11,,,GCST007077,30595370
rs6446298,UBA7 - TRAIP,Type 2 diabetes,2e-09,,,GCST007077,30595370
rs112674299,ATXN7,Type 2 diabetes,5e-09,,,GCST007077,30595370
rs11720108,ADCY5,Type 2 diabetes,2e-15,,,GCST007077,30595370
rs4678408,NME9 - MRAS,Type 2 diabetes,9e-08,,,GCST007077,30595370
rs7633675,IGF2BP2,Type 2 diabetes,3e-27,,,GCST007077,30595370
rs3887925,ST6GAL1,Type 2 diabetes,2e-09,,,GCST007077,30595370
rs10811660,CDKN2B-AS1,Type 2 diabetes,3.0000000000000003e-31,,,GCST007077,30595370
rs2796441,TLE1-DT,Type 2 diabetes,8e-16,,,GCST007077,30595370
rs28641468,GPSM1,Type 2 diabetes,2e-08,,,GCST007077,30595370
rs11257655,CDC123 - RN7SL198P,Type 2 diabetes,4e-14,,,GCST007077,30595370
rs41277236,NEUROG3,Type 2 diabetes,3e-09,,,GCST007077,30595370
rs703972,ZMIZ1,Type 2 diabetes,6e-15,,,GCST007077,30595370
rs34744311,HHEX - Y_RNA,Type 2 diabetes,5e-27,,,GCST007077,30595370
rs117229942,TCF7L2,Type 2 diabetes,2e-11,,,GCST007077,30595370
rs7903146,TCF7L2,Type 2 diabetes,3e-203,,,GCST007077,30595370
rs4918796,TCF7L2,Type 2 diabetes,4e-09,,,GCST007077,30595370
rs7482891,MIR4686 - ASCL2,Type 2 diabetes,7e-11,,,GCST007077,30595370
rs231362,KCNQ1,Type 2 diabetes,1e-09,,,GCST007077,30595370
rs231362,KCNQ1OT1,Type 2 diabetes,1e-09,,,GCST007077,30595370
rs2237895,KCNQ1,Type 2 diabetes,3e-23,,,GCST007077,30595370
rs2074314,KCNJ11 - ABCC8,Type 2 diabetes,2e-12,,,GCST007077,30595370
rs2510078,ZNRD2-DT,Type 2 diabetes,6e-09,,,GCST007077,30595370
rs11602873,ARAP1,Type 2 diabetes,3e-17,,,GCST007077,30595370
rs10830963,MTNR1B,Type 2 diabetes,2e-16,,,GCST007077,30595370
rs76895963,CCND2,Type 2 diabetes,2e-31,,,GCST007077,30595370
rs76895963,CCND2-AS1,Type 2 diabetes,2e-31,,,GCST007077,30595370
rs2258238,HMGA2,Type 2 diabetes,1e-12,,,GCST007077,30595370
rs7968902,HMGA2 - MIR6074,Type 2 diabetes,2e-09,,,GCST007077,30595370
rs1169299,HNF1A,Type 2 diabetes,2e-08,,,GCST007077,30595370
rs7988007,LINC00374 - RNY4P29,Type 2 diabetes,5e-08,,,GCST007077,30595370
rs1215468,LINC01080,Type 2 diabetes,2e-19,,,GCST007077,30595370
rs4287436,LINC00370,Type 2 diabetes,9e-09,,,GCST007077,30595370
rs34715063,LINC02694,Type 2 diabetes,2e-13,,,GCST007077,30595370
rs3802177,SLC30A8,Type 2 diabetes,2.0000000000000002e-24,,,GCST007077,30595370
rs12719778,ARHGAP39,Type 2 diabetes,8e-08,,,GCST007077,30595370
rs10974438,GLIS3,Type 2 diabetes,5e-09,,,GCST007077,30595370
rs7166281,SNUPN - IMP3,Type 2 diabetes,1e-07,,,GCST007077,30595370
rs12910361,HMG20A - LINGO1,Type 2 diabetes,1e-11,,,GCST007077,30595370
rs8031576,ARPIN-AP3S2,Type 2 diabetes,2e-09,,,GCST007077,30595370
rs8031576,AP3S2,Type 2 diabetes,2e-09,,,GCST007077,30595370
rs9931702,AKTIP,Type 2 diabetes,4e-08,,,GCST007077,30595370
rs1421085,FTO,Type 2 diabetes,4.0000000000000003e-29,,,GCST007077,30595370
rs244420,NFAT5,Type 2 diabetes,7e-10,,,GCST007077,30595370
rs72802365,CTRB2 - CTRB1,Type 2 diabetes,4e-14,,,GCST007077,30595370
rs2278524,ANKFY1,Type 2 diabetes,2e-08,,,GCST007077,30595370
rs2278524,CYB5D2,Type 2 diabetes,2e-08,,,GCST007077,30595370
rs7501939,HNF1B,Type 2 diabetes,2e-17,,,GCST007077,30595370
rs35895680,GIP - IGF2BP1,Type 2 diabetes,7e-08,,,GCST007077,30595370
rs12967878,LINC03111,Type 2 diabetes,3e-11,,,GCST007077,30595370
rs2303700,MAP2K7,Type 2 diabetes,2e-09,,,GCST007077,30595370
rs10420309,EML2 - RN7SL836P,Type 2 diabetes,2e-13,,,GCST007077,30595370
rs7274168,CHMP4B,Type 2 diabetes,6e-09,,,GCST007077,30595370
rs1800961,HNF4A,Type 2 diabetes,2e-11,,,GCST007077,30595370
rs11131794,RN7SKP188 - ANXA10,Type 2 diabetes,5e-06,,,GCST008827,31513605
rs9535171,MLNR - CDADC1,Type 2 diabetes,5e-21,,,GCST90134620,35893037
rs78471707,DDX6P2 - TXNL1P1,Type 2 diabetes,6e-22,,,GCST90134620,35893037
rs12434181,DHRS2 - BRD7P1,Type 2 diabetes,4e-21,,,GCST90134620,35893037
rs8009579,ARMH4,Type 2 diabetes,3e-22,,,GCST90134620,35893037
rs8009579,PSMA3,Type 2 diabetes,3e-22,,,GCST90134620,35893037
rs8017825,TTC8 - MPPE1P1,Type 2 diabetes,1.0000000000000001e-23,,,GCST90134620,35893037
rs118050771,CCDC85C - HHIPL1,Type 2 diabetes,1e-09,,,GCST90134620,35893037
rs1280414,CGNL1,Type 2 diabetes,7e-19,,,GCST90134620,35893037
rs34926045,ITGA11 - CORO2B,Type 2 diabetes,2e-22,,,GCST90134620,35893037
rs17313232,DRAIC,Type 2 diabetes,9e-24,,,GCST90134620,35893037
rs742460,GNPTG,Type 2 diabetes,2e-21,,,GCST90134620,35893037
rs148373909,TRAP1,Type 2 diabetes,7e-10,,,GCST90134620,35893037
rs148373909,DNASE1,Type 2 diabetes,7e-10,,,GCST90134620,35893037
rs45615138,RNF166,Type 2 diabetes,7.000000000000001e-23,,,GCST90134620,35893037
rs9905906,DNAH2,Type 2 diabetes,3e-21,,,GCST90134620,35893037
rs11650852,CA10,Type 2 diabetes,2.0000000000000002e-23,,,GCST90134620,35893037
rs28476533,SEC14L1 - SEPTIN9-DT,Type 2 diabetes,8e-21,,,GCST90134620,35893037
rs8080678,RPTOR,Type 2 diabetes,1e-20,,,GCST90134620,35893037
rs76734228,DLGAP1,Type 2 diabetes,4e-19,,,GCST90134620,35893037
rs73379947,PTPRM,Type 2 diabetes,4e-22,,,GCST90134620,35893037
rs4799327,RNF138,Type 2 diabetes,6e-23,,,GCST90134620,35893037
rs962876,LINC01478,Type 2 diabetes,3e-23,,,GCST90134620,35893037
rs11877530,TNFRSF11A,Type 2 diabetes,2e-21,,,GCST90134620,35893037
rs2967605,RAB11B - MARCHF2,Type 2 diabetes,2.0000000000000002e-23,,,GCST90134620,35893037
rs17657660,CYP2F1 - CYP2T3P,Type 2 diabetes,3e-17,,,GCST90134620,35893037
rs2061771,ZNF765,Type 2 diabetes,3e-22,,,GCST90134620,35893037
rs931574,ADCY5,Type 2 diabetes,2.0000000000000002e-23,,,GCST90134620,35893037
rs9815975,IQCJ,Type 2 diabetes,6e-23,,,GCST90134620,35893037
rs9815975,IQCJ-SCHIP1,Type 2 diabetes,6e-23,,,GCST90134620,35893037
rs13072556,ARL14 - SNORA72,Type 2 diabetes,2e-20,,,GCST90134620,35893037
rs60603263,OTOL1 - TOMM22P6,Type 2 diabetes,2e-18,,,GCST90134620,35893037
rs10937705,JAKMIP1,Type 2 diabetes,7.000000000000001e-23,,,GCST90134620,35893037
rs10937705,C4orf50,Type 2 diabetes,7.000000000000001e-23,,,GCST90134620,35893037
rs10797649,HJV - RNVU1-6,Type 2 diabetes,9e-22,,,GCST90134620,35893037
rs4351004,LINC02473 - HNRNPA1P65,Type 2 diabetes,1e-20,,,GCST90134620,35893037
rs682585,RNASEL - RGS16,Type 2 diabetes,1e-20,,,GCST90134620,35893037
rs6844238,MYOZ2,Type 2 diabetes,2e-18,,,GCST90134620,35893037
rs2997971,RYR2,Type 2 diabetes,1e-20,,,GCST90134620,35893037
rs2028964,LCLAT1 - CAPN13,Type 2 diabetes,4e-22,,,GCST90134620,35893037
rs9309473,ALMS1,Type 2 diabetes,7e-22,,,GCST90134620,35893037
rs10063787,LINC02997,Type 2 diabetes,3e-21,,,GCST90134620,35893037
rs77986901,PPIAP65 - LINC02572,Type 2 diabetes,6e-19,,,GCST90134620,35893037
rs77708863,SPOCK1,Type 2 diabetes,2e-19,,,GCST90134620,35893037
rs893746,LINC01090,Type 2 diabetes,2e-22,,,GCST90134620,35893037
rs6887695,IL12B - LINC01845,Type 2 diabetes,2e-21,,,GCST90134620,35893037
rs73339865,OR1X5P - SUDS3P1,Type 2 diabetes,2e-21,,,GCST90134620,35893037
rs959193,GMCL2 - HNRNPAB,Type 2 diabetes,7e-19,,,GCST90134620,35893037
rs4712460,MBOAT1,Type 2 diabetes,4e-21,,,GCST90134620,35893037
rs75412658,CASC15,Type 2 diabetes,2e-21,,,GCST90134620,35893037
rs3132718,POLR1HASP,Type 2 diabetes,6e-21,,,GCST90134620,35893037
rs4573120,LINC00243,Type 2 diabetes,3e-23,,,GCST90134620,35893037
rs4955988,CACNA2D3,Type 2 diabetes,5e-22,,,GCST90134620,35893037
rs73738318,CLIC5,Type 2 diabetes,5e-21,,,GCST90134620,35893037
rs7027911,PSAT1 - MTND2P8,Type 2 diabetes,3e-22,,,GCST90134620,35893037
rs683466,CHCHD4P2 - RPL36P14,Type 2 diabetes,2e-22,,,GCST90134620,35893037
rs6478453,LINC01613 - MIR147A,Type 2 diabetes,2e-20,,,GCST90134620,35893037
rs77610104,LHX2,Type 2 diabetes,5e-23,,,GCST90134620,35893037
rs78715995,QSOX2,Type 2 diabetes,1e-21,,,GCST90134620,35893037
rs76797216,ADARB2 - LINC00700,Type 2 diabetes,2e-22,,,GCST90134620,35893037
rs943121,RBM17 - PFKFB3,Type 2 diabetes,2e-15,,,GCST90134620,35893037
rs10906653,FRMD4A,Type 2 diabetes,7e-22,,,GCST90134620,35893037
rs12778455,ARHGAP12 - RPL34P19,Type 2 diabetes,1e-18,,,GCST90134620,35893037
rs2164624,GSTO1,Type 2 diabetes,1.0000000000000001e-23,,,GCST90134620,35893037
rs951631,LINC02641,Type 2 diabetes,3e-23,,,GCST90134620,35893037
rs9737503,IFITM3 - B4GALNT4,Type 2 diabetes,4e-18,,,GCST90134620,35893037
rs1001179,CIR1P3 - CAT,Type 2 diabetes,8.999999999999998e-25,,,GCST90134620,35893037
rs61883849,HSD17B12,Type 2 diabetes,4e-22,,,GCST90134620,35893037
rs77759376,RNF121,Type 2 diabetes,7e-19,,,GCST90134620,35893037
rs7112956,FAT3,Type 2 diabetes,2e-22,,,GCST90134620,35893037
rs480948,MAML2,Type 2 diabetes,2.0000000000000002e-24,,,GCST90134620,35893037
rs590616,ARHGAP42,Type 2 diabetes,5e-19,,,GCST90134620,35893037
rs12271908,NCAM1,Type 2 diabetes,9e-22,,,GCST90134620,35893037
rs61917776,PKNOX2,Type 2 diabetes,1e-21,,,GCST90134620,35893037
rs11050349,TMTC1,Type 2 diabetes,1e-22,,,GCST90134620,35893037
rs12313841,MIP,Type 2 diabetes,2.0000000000000002e-23,,,GCST90134620,35893037
rs904091,RPL6P25 - SLC6A15,Type 2 diabetes,5e-19,,,GCST90134620,35893037
rs1344542,MVK - RN7SKP250,Type 2 diabetes,5e-19,,,GCST90134620,35893037
rs11058150,TMEM132B,Type 2 diabetes,6e-23,,,GCST90134620,35893037
rs4945848,FIG4 - GPR6,Type 2 diabetes,2e-18,,,GCST90134620,35893037
rs76326187,IYD - PLEKHG1,Type 2 diabetes,2e-21,,,GCST90134620,35893037
rs582937,HDAC9,Type 2 diabetes,1e-19,,,GCST90134620,35893037
rs1653889,PDE1C,Type 2 diabetes,6e-24,,,GCST90134620,35893037
rs6968910,HECW1,Type 2 diabetes,2e-20,,,GCST90134620,35893037
rs115128033,RNU7-157P - MIR3147HG,Type 2 diabetes,4e-13,,,GCST90134620,35893037
rs4717992,GUSBP6 - RPL6P20,Type 2 diabetes,1e-22,,,GCST90134620,35893037
rs6944414,GALNT17,Type 2 diabetes,1e-21,,,GCST90134620,35893037
rs2428918,DDX3ILA1 - MAGI2,Type 2 diabetes,1e-19,,,GCST90134620,35893037
rs719530,RPL3P8 - IMMP2L,Type 2 diabetes,5e-22,,,GCST90134620,35893037
rs13231717,POT1-AS1,Type 2 diabetes,1e-19,,,GCST90134620,35893037
rs4731262,POT1-AS1 - GRM8,Type 2 diabetes,7e-21,,,GCST90134620,35893037
rs667725,POT1-AS1 - GRM8,Type 2 diabetes,1e-20,,,GCST90134620,35893037
rs13224784,METTL2B - LINC03072,Type 2 diabetes,4e-20,,,GCST90134620,35893037
rs2971760,EEF1B2P6 - NDUFB9P2,Type 2 diabetes,2e-22,,,GCST90134620,35893037
rs4503064,RP1L1 - SOX7,Type 2 diabetes,1e-22,,,GCST90134620,35893037
rs920590,CSGALNACT1 - INTS10,Type 2 diabetes,4e-20,,,GCST90134620,35893037
rs4570167,EBF2,Type 2 diabetes,8.000000000000001e-23,,,GCST90134620,35893037
rs4738067,PRDM14,Type 2 diabetes,4e-22,,,GCST90134620,35893037
rs13278603,RNA5SP272 - RLIG1P3,Type 2 diabetes,2e-18,,,GCST90134620,35893037
rs9297310,NCALD,Type 2 diabetes,5e-19,,,GCST90134620,35893037
rs77194116,DCSTAMP,Type 2 diabetes,2e-09,,,GCST90134620,35893037
rs77194116,DPYS,Type 2 diabetes,2e-09,,,GCST90134620,35893037
rs4269571,SLC30A8,Type 2 diabetes,2e-22,,,GCST90134620,35893037
rs1932458,SAXO1,Type 2 diabetes,3e-20,,,GCST90134620,35893037
rs1339374,ARHGEF39,Type 2 diabetes,3e-22,,,GCST90134620,35893037
rs1339374,CCDC107,Type 2 diabetes,3e-22,,,GCST90134620,35893037
rs12129573,RN7SKP19 - LINC01360,Type 2 diabetes,9e-21,,,GCST90134620,35893037
rs10922613,GBP5 - GBP6,Type 2 diabetes,2e-18,,,GCST90134620,35893037
rs12721515,CSF1,Type 2 diabetes,1e-14,,,GCST90134620,35893037
rs9999241,RN7SKP36 - SORCS2,Type 2 diabetes,5e-20,,,GCST90134620,35893037
rs4987358,FIRRM,Type 2 diabetes,1.0000000000000001e-23,,,GCST90134620,35893037
rs4987358,SELL,Type 2 diabetes,1.0000000000000001e-23,,,GCST90134620,35893037
rs62308683,HERC5,Type 2 diabetes,2e-22,,,GCST90134620,35893037
rs72711389,LINC01099,Type 2 diabetes,4e-22,,,GCST90134620,35893037
rs7711236,IRX1 - LINC02063,Type 2 diabetes,4.0000000000000004e-24,,,GCST90134620,35893037
rs32323,CTNND2 - RNU6-679P,Type 2 diabetes,2e-20,,,GCST90134620,35893037
rs6747727,USP21P2 - RN7SKP203,Type 2 diabetes,1.0000000000000001e-23,,,GCST90134620,35893037
rs4437352,PDE8B,Type 2 diabetes,4e-18,,,GCST90134620,35893037
rs4437352,ZBED3-AS1,Type 2 diabetes,4e-18,,,GCST90134620,35893037
rs67193795,KIF5C,Type 2 diabetes,1e-21,,,GCST90134620,35893037
rs385501,CCDC69,Type 2 diabetes,3e-23,,,GCST90134620,35893037
rs3771003,NRP2,Type 2 diabetes,3e-20,,,GCST90134620,35893037
rs58500584,SPP2 - RPS20P12,Type 2 diabetes,7e-22,,,GCST90134620,35893037
rs61406133,HDAC4-AS1 - LINC02991,Type 2 diabetes,2e-18,,,GCST90134620,35893037
rs2600062,RPL21P17 - RN7SKP144,Type 2 diabetes,7.000000000000001e-23,,,GCST90134620,35893037
rs360745,IQSEC1,Type 2 diabetes,3e-24,,,GCST90134620,35893037
rs6791903,ZNF385D,Type 2 diabetes,5e-16,,,GCST90134620,35893037
rs61739896,DNAH1,Type 2 diabetes,7e-21,,,GCST90134620,35893037
rs11130310,PBRM1,Type 2 diabetes,2e-21,,,GCST90134620,35893037
rs80225482,CCND3,Type 2 diabetes,2e-21,,,GCST90134620,35893037
rs4855447,MITF,Type 2 diabetes,2e-22,,,GCST90134620,35893037
rs6790377,KRT8P25 - APOOP2,Type 2 diabetes,6e-23,,,GCST90134620,35893037
rs651862,SLC24A3,Type 2 diabetes,3e-17,,,GCST90134620,35893037
rs6036804,GAPDHP53 - SYNDIG1,Type 2 diabetes,7.000000000000001e-23,,,GCST90134620,35893037
rs2024578,DOK5 - RNU4ATAC7P,Type 2 diabetes,1e-22,,,GCST90134620,35893037
rs2834623,LINC01426,Type 2 diabetes,5e-19,,,GCST90134620,35893037
rs9789875,ERG,Type 2 diabetes,3e-23,,,GCST90134620,35893037
rs73219073,PRDM15,Type 2 diabetes,5e-24,,,GCST90134620,35893037
rs76866981,LINC01310 - NHIP,Type 2 diabetes,1e-09,,,GCST90134620,35893037
rs4661310,KAZN,Type 2 diabetes,1e-12,,,GCST90134620,35893037
rs4920461,IGSF21,Type 2 diabetes,2e-21,,,GCST90134620,35893037
rs2233580,PAX4,Type 2 diabetes,2e-10,1.48,[1.31-1.67],GCST010436,32794382
rs2206734,CDKAL1,Type 2 diabetes,2e-10,1.25,[1.17-1.34],GCST010436,32794382
rs2237895,KCNQ1,Type 2 diabetes,4e-09,1.25,[1.16-1.34],GCST010436,32794382
rs11960799,MARCHF3,Type 2 diabetes,1e-07,1.2195122,[1.14-1.32],GCST010436,32794382
rs75680863,TCN2,Type 2 diabetes,2e-07,1.5873016,[1.35-1.96],GCST010436,32794382
rs2237892,KCNQ1,Type 2 diabetes,5e-07,1.2048193,[1.12-1.3],GCST010436,32794382
rs10965250,CDKN2B-AS1,Type 2 diabetes,7e-07,1.1904762,[1.11-1.41],GCST010436,32794382
rs35198068,TCF7L2,Type 2 diabetes,3e-41,0.32841325,[0.28-0.38] unit increase,GCST90468151,39789286
rs76895963,CCND2,Type 2 diabetes,5e-19,1.0777453,[0.84-1.31] unit decrease,GCST90468151,39789286
rs76895963,CCND2-AS1,Type 2 diabetes,5e-19,1.0777453,[0.84-1.31] unit decrease,GCST90468151,39789286
rs716316,MACROD2-AS1,Soluble receptor for advanced glycation end-product levels,8e-06,0.129,[0.074-0.184] unit increase,GCST003457,26915486
rs716316,MACROD2,Soluble receptor for advanced glycation end-product levels,8e-06,0.129,[0.074-0.184] unit increase,GCST003457,26915486
rs17054480,PALLD,Soluble receptor for advanced glycation end-product levels,8e-07,0.312,[0.19-0.43] unit decrease,GCST003457,26915486
rs11159086,ISCA2,Soluble receptor for advanced glycation end-product levels,3e-06,0.18,[0.11-0.25] unit decrease,GCST003457,26915486
rs4454866,FBXO33 - LINC02315,Soluble receptor for advanced glycation end-product levels,5e-06,0.281,[0.16-0.4] unit increase,GCST003457,26915486
rs6795197,ZBTB38,Soluble receptor for advanced glycation end-product levels,8e-06,0.131,[0.074-0.188] unit decrease,GCST003457,26915486
rs6795197,PXYLP1,Soluble receptor for advanced glycation end-product levels,8e-06,0.131,[0.074-0.188] unit decrease,GCST003457,26915486
rs9465871,CDKAL1,Prevalent type 2 diabetes,6e-08,1.32,,GCST004304,28406950
rs17584499,PTPRD,Type 2 diabetes,9e-10,1.57,[1.36-1.82],GCST000601,20174558
rs2237895,KCNQ1,Type 2 diabetes,1e-09,1.29,[1.19-1.40],GCST000601,20174558
rs391300,SRR,Type 2 diabetes,3e-09,1.28,[1.18-1.39],GCST000601,20174558
rs4712523,CDKAL1,Type 2 diabetes,7e-20,1.27,[1.21-1.33],GCST000383,19401414
rs2383208,CDKN2B-AS1,Type 2 diabetes,2.0000000000000002e-29,1.34,[1.27-1.41],GCST000383,19401414
rs2237892,KCNQ1,Type 2 diabetes,9.999999999999999e-27,1.33,[1.27-1.41],GCST000383,19401414
rs13266634,SLC30A8,Type 2 diabetes,2e-14,1.22,[1.16-1.28],GCST000383,19401414
rs1111875,HHEX - Y_RNA,Type 2 diabetes,7e-12,1.21,[1.15-1.28],GCST000383,19401414
rs7903146,TCF7L2,Type 2 diabetes,8e-12,1.54,[1.36-1.74],GCST000383,19401414
rs4402960,IGF2BP2,Type 2 diabetes,1e-06,1.14,[1.08-1.21],GCST000383,19401414
rs3792615,MARCHF1,Type 2 diabetes,9e-06,1.93,[1.45-2.59],GCST001033,21490949
rs12027542,PCNX2,Type 2 diabetes,4e-07,1.41,[1.23-1.61],GCST001033,21490949
rs10460009,LPIN2,Type 2 diabetes,9e-06,1.35,[1.18-1.54],GCST001033,21490949
rs9295474,CDKAL1,Type 2 diabetes,9e-06,1.16,[1.09-1.24],GCST001033,21490949
rs11677370,DCDC2C,Type 2 diabetes,3e-06,1.35,[1.19-1.53],GCST001033,21490949
rs7119,HMG20A,Type 2 diabetes,5e-07,1.24,[1.14-1.34],GCST001033,21490949
rs2833610,HUNK,Type 2 diabetes,4e-06,1.17,[1.09-1.24],GCST001033,21490949
rs6583826,KIF11,Type 2 diabetes,7e-06,1.18,[1.10-1.27],GCST001033,21490949
rs7630877,PEX5L,Type 2 diabetes,7e-06,1.32,[1.17-1.49],GCST001033,21490949
rs17045328,CR2,Type 2 diabetes,7e-06,1.38,[1.20-1.59],GCST001033,21490949
rs1048886,SDHAF4,Type 2 diabetes,3e-08,1.54,[1.32-1.80],GCST001033,21490949
rs642858,FILNC1 - LINC02941,Type 2 diabetes,2e-06,1.35,[1.19-1.53],GCST001033,21490949
rs7636,ACHE,Type 2 diabetes,5e-06,1.85,[1.42-2.41],GCST001033,21490949
rs10741243,TCERG1L,Type 2 diabetes,5e-06,1.75,[1.38-2.23],GCST001033,21490949
rs2063640,ZPLD1 - RNU6-461P,Type 2 diabetes,3e-06,1.23,[1.13-1.34],GCST001033,21490949
rs472265,ACP7,Type 2 diabetes,9e-06,1.39,[1.20-1.61],GCST001033,21490949
rs3773506,PLS1,Type 2 diabetes,9e-06,1.81,[1.39-2.35],GCST001033,21490949
rs17177078,TNRC6A,Type 2 diabetes (dietary heme iron intake interaction),5e-06,0.83,[NR] unit increase,GCST001843,23386860
rs1525739,AGR2 - AGR3,Type 2 diabetes (dietary heme iron intake interaction),6e-06,0.44,[NR] unit decrease,GCST001843,23386860
rs10980508,SVEP1 - MUSK,Type 2 diabetes (dietary heme iron intake interaction),1e-06,0.64,[NR] unit increase,GCST001843,23386860
rs470089,SULT4A1,Type 2 diabetes (dietary heme iron intake interaction),9e-06,0.55,[NR] unit decrease,GCST001843,23386860
rs163182,KCNQ1,Type 2 diabetes,2e-17,1.28,[NR],GCST001173,21799836
rs1436953,NPM1P47 - C2CD4B,Type 2 diabetes,8e-06,1.14,[NR],GCST001173,21799836
rs7903146,TCF7L2,Metabolic syndrome,7e-07,1.33,[1.19-1.49],GCST000753,20694148
rs531676,CRTAC1,Metabolic syndrome,9e-06,,,GCST000753,20694148
rs34669198,SRBD1,Type 2 diabetes,1e-06,0.3,[0.18-0.42] unit increase,GCST002806,25760438
rs75260059,LINC01877 - FTCDNL1,Type 2 diabetes,9e-07,0.34,[0.20-0.48] unit increase,GCST002806,25760438
